ID,Customer Age (in months),"Churn (1 = Yes, 0 = No)",CHI Score Month 0,CHI Score 0-1,Support Cases Month 0,Support Cases 0-1,SP Month 0,SP 0-1,Logins 0-1,Blog Articles 0-1,Views 0-1, Days Since Last Login 0-1
819,14, -   ,120,-2, -   , -   , -   , -   ,89, -   ,-19, -   
820,14, -   ,139,-6, -   ,-1, -   ,-3,29,-2,-26, -   
821,5, -   ,156,-9,1, -   ,3, -   ,43, -   , -   ,-2
822,15, -   ,127,5, -   , -   , -   , -   ,-6,1,-17,14
823,13, -   ,215,5, -   ,-1, -   ,-3,19,1,60,-1
824,14, -   ,181,56, -   ,-1, -   ,-3,111, -   ,-76,5
825,14, -   ,33,26, -   , -   , -   , -   ,2, -   ,-285,31
826,13,1,110,18,1,1,3,3,14, -   ,-29,-3
827,14, -   ,180,36, -   , -   , -   , -   ,89,4,-24,-1
828,15, -   ,184,-3, -   , -   , -   , -   ,15,-2,-408, -   
829,15, -   ,107,-10, -   ,-1, -   ,-3,5, -   ,-128,15
830,15, -   ,146,-4,1, -   ,3, -   ,-8,-1,-12,-1
831,14, -   ,85,-11, -   , -   , -   , -   ,19, -   ,-12, -   
832,15, -   ,56,40, -   , -   , -   , -   ,5, -   ,-131,17
833,13, -   ,179,21, -   , -   , -   , -   ,95,-3,"-1,363.00", -   
834,15, -   ,81,10, -   ,-1, -   ,-3,3, -   ,3,-16
835,15, -   ,48,-12,2,2,3,3,10,-1,3,-11
836,15, -   ,190,36, -   , -   , -   , -   ,60,1,164,-4
837,15, -   ,82,-48, -   , -   , -   , -   ,-20,-1,-119,1
838,14, -   ,155,-19,5, -   ,3, -   ,32,-3,"-1,986.00",-1
839,15, -   , -   ,-30, -   , -   , -   , -   ,-9, -   ,-2,10
840,14, -   ,125,20, -   , -   , -   , -   ,69,-1,27,27
841,14, -   ,151,-11, -   , -   , -   , -   ,-16,-1,84,-3
842,15, -   ,179,11, -   , -   , -   , -   ,100, -   ,-783, -   
843,15, -   ,122,-6, -   , -   , -   , -   ,8,-1,2, -   
844,13,1,113,-33, -   , -   , -   , -   ,48,-5,10,9
845,12, -   ,99,-50, -   , -   , -   , -   ,-11,-3,-16, -   
846,14, -   , -   ,-21, -   , -   , -   , -   ,-2, -   , -   ,11
847,14, -   ,136,2,2, -   ,3, -   ,-38,4,-652,3
848,14, -   ,163,60,1,1,3,3,71,1,75, -   
849,14, -   ,218,28,13,12,3, -   ,151,4,-56,-1
850,15, -   ,146,-40, -   ,-5, -   ,-3,-50,-8,-28, -   
851,7, -   ,118,41,1,1,3,3,30,1,19,14
852,15, -   ,113,-32, -   , -   , -   , -   ,-40,-1,-59,4
853,6, -   ,98,35,4,3,3, -   ,44, -   ,-1,-2
854,14, -   ,167,28, -   ,-5, -   ,-3,1,4,-35,1
855,14, -   ,100,35, -   , -   , -   , -   ,-14,1,-18,-9
856,15, -   ,20,15, -   , -   , -   , -   , -   , -   ,31,31
857,14, -   ,185,31,3,3,3,3,44,1,-200, -   
858,15, -   ,126,32, -   ,-1, -   ,-3,21, -   ,-135, -   
859,15, -   ,86,8, -   , -   , -   , -   ,1, -   ,-606,3
860,15, -   ,119,-49, -   , -   , -   , -   ,-3,-2,-399,3
861,15, -   ,96,30,2, -   ,3, -   ,9, -   ,14,2
862,12,1,6,-11,1, -   ,2,-1,-2, -   , -   ,9
863,15, -   , -   , -   , -   , -   , -   , -   ,-1, -   , -   ,-69
864,9, -   ,135,10,6,6,2.6,2.6,176, -   ,-18,4
865,13, -   ,120,10, -   ,-1, -   ,-3,42, -   ,8,-2
866,15, -   ,95,-51,1,1,3,3,-22,-5,-476,-1
867,11,1,25,15, -   , -   , -   , -   ,2, -   ,-27,-10
868,15, -   ,43,-59, -   ,-1, -   ,-3,-1,-1,-71,24
869,15, -   ,25,-52, -   , -   , -   , -   ,10,-2,5,-8
870,14, -   ,101,-10, -   , -   , -   , -   ,5, -   , -   ,-16
871,15, -   , -   ,-13, -   , -   , -   , -   ,-4, -   , -   ,-152
872,15, -   ,24,-35, -   , -   , -   , -   ,-19, -   ,27,-24
873,15, -   ,167,-2,4,4,3,3,170,3,-58, -   
874,15, -   ,137,48, -   , -   , -   , -   ,74,3,21, -   
875,14,1,189,35, -   , -   , -   , -   ,7,2,-2,11
876,14, -   ,128,-24,3,3,3,3,16,-3,-22,1
877,15, -   ,128,7, -   , -   , -   , -   ,37,-2,454,3
878,14, -   ,64,5, -   , -   , -   , -   ,12, -   ,-272,-12
879,15, -   ,153,33, -   , -   , -   , -   ,-3,1,-33, -   
880,15, -   ,159,-8,13,10,3, -   ,-8,-1,-344, -   
881,15, -   ,143,-22, -   , -   , -   , -   ,-21, -   ,265,-3
882,15, -   ,1,-31, -   , -   , -   , -   , -   , -   ,8,-6
883,13, -   ,28,-10, -   , -   , -   , -   ,-1, -   , -   ,-16
884,15, -   ,194,-1, -   ,-1, -   ,-3,27,-6,"-13,961.00", -   
885,15, -   ,143,-1,1,1,3,3,7,-1,-161,-1
886,14,1,181,27,3,3,3,3,1,-2,144,-1
887,13, -   ,150,4,1,1,3,3,9, -   ,-41,5
888,15, -   ,153,-11, -   ,-1, -   ,-3,-12,-1,-25, -   
889,14, -   ,92,-26, -   , -   , -   , -   ,-9, -   ,-99,2
890,13, -   ,19,-4, -   , -   , -   , -   , -   , -   , -   ,31
891,15,1, -   , -   , -   , -   , -   , -   , -   , -   ,-8,31
892,13, -   ,131,10, -   , -   , -   , -   ,51,1,-127, -   
893,1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
894,15, -   ,182,35, -   , -   , -   , -   ,5,1,-167, -   
895,15, -   ,81,-6,1,-1,3, -   ,7, -   ,2, -   
896,14,1, -   , -   , -   , -   , -   , -   , -   , -   ,-6,31
897,1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
898,15, -   ,144,-9, -   , -   , -   , -   ,21, -   ,-31, -   
899,13, -   ,63,-44, -   , -   , -   , -   ,1,-1,-19,-8
900,15, -   ,72,5, -   , -   , -   , -   ,-2, -   ,-151,-92
901,15, -   ,31,-20,1,1,3,3,4, -   ,12,-48
902,11, -   ,217,8,1, -   ,3, -   ,68, -   ,-97, -   
903,15, -   ,60,14, -   ,-1, -   ,-3,-3, -   ,12,4
904,14,1, -   ,-29, -   , -   , -   , -   ,-1, -   , -   ,20
905,15, -   ,93,-37, -   ,-2, -   ,-3,-8,-1,-343,-4
906,14, -   ,72,-1, -   ,-2, -   ,-3,-12, -   ,-179,-6
907,13, -   ,203,29, -   ,-1, -   ,-3,21,1,29,-1
908,15, -   ,54,9, -   , -   , -   , -   , -   , -   ,23,31
909,15, -   ,98,-65, -   ,-7, -   ,-2.9,-34,-1,-111, -   
910,15, -   ,236,-4, -   , -   , -   , -   ,5,-5,209, -   
911,14, -   ,17,-40, -   , -   , -   , -   ,1, -   ,17,19
912,1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
913,14, -   ,85,39, -   , -   , -   , -   ,78, -   ,-38,31
914,14, -   ,117,22,3,2,3, -   ,27, -   ,-316,16
915,13, -   ,160,1, -   , -   , -   , -   ,3,2,-99,4
916,11, -   ,54,-4, -   , -   , -   , -   ,-1, -   ,13,-12
917,15, -   ,79,8, -   , -   , -   , -   ,2, -   ,-9,3
918,13,1,102,7, -   , -   , -   , -   , -   , -   ,-7,31
919,14, -   ,77,9, -   ,-1, -   ,-3,34, -   ,-72, -   
920,2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
921,15, -   ,129,-8, -   ,-1, -   ,-3,-7,-3,69,-5
922,14, -   ,206,-17, -   ,-1, -   ,-2,10,-2,690,-1
923,14, -   ,148,-42, -   ,-1, -   ,-3,74,-5,415,-2
924,11, -   ,226,17,3,-3,3, -   ,89,2,927, -   
925,14, -   ,43,-5, -   , -   , -   , -   ,7, -   , -   ,6
926,14, -   , -   , -   , -   , -   , -   , -   , -   , -   ,-8,31
927,14, -   ,79,6, -   , -   , -   , -   ,-9, -   ,-78,-92
928,14, -   ,80,34, -   , -   , -   , -   ,6, -   ,-19,31
929,11, -   ,123,35, -   , -   , -   , -   ,7,1,"-20,607.00",-8
930,12,1,9,-2, -   , -   , -   , -   , -   , -   ,155,31
931,15, -   ,241,12,2,-1,3,0.3,68,2,7, -   
932,11, -   ,114,-11, -   , -   , -   , -   ,-15,-1,21,5
933,15,1,96,-16, -   ,-2, -   ,-3,-27,-3,8,1
934,14, -   ,60,-77,1,-1,3, -   ,-23,-2,43, -   
935,12, -   ,105,-17, -   , -   , -   , -   ,-14,-5, -   ,-81
936,10, -   ,89,-7, -   , -   , -   , -   ,12, -   ,-4,2
937,15, -   ,179,-14, -   , -   , -   , -   ,9,2,393,-4
938,14,1, -   , -   , -   , -   , -   , -   , -   , -   , -   ,30
939,8, -   ,160,39,9,9,2.9,2.9,67, -   ,-2,-6
940,13, -   ,76,-38, -   ,-1, -   ,-3,-11,-2,-5,5
941,12, -   ,196,12,1,1,2,2,30,-3,71,3
942,15, -   ,78,2, -   ,-2, -   ,-3,23, -   ,-157,1
943,6, -   ,162,20,5, -   ,2.4,-0.6,6, -   ,297,-3
944,14, -   ,151,13,3,1,3, -   ,8, -   ,-90,-2
945,15,1, -   , -   , -   , -   , -   , -   , -   , -   ,3,31
946,15, -   ,119,-1,2,2,2,2,13, -   ,-149,-1
947,15,1, -   , -   , -   , -   , -   , -   , -   , -   ,-3,31
948,15,1, -   , -   , -   , -   , -   , -   , -   , -   ,-1,31
949,15, -   ,40,11,1,1,3,3,5, -   ,-352, -   
950,12, -   ,68,29, -   , -   , -   , -   ,11,1,-8,5
951,15, -   ,25,25, -   , -   , -   , -   ,6, -   , -   ,31
952,13, -   ,113,44, -   , -   , -   , -   ,66, -   ,-445,6
953,12, -   ,50,47, -   , -   , -   , -   ,16,1,67,7
954,14, -   ,148,-2,2, -   ,3, -   ,77,2,67,-1
955,14, -   ,55,-38, -   ,-1, -   ,-3,-17, -   ,-56,6
956,14, -   ,67,-1, -   , -   , -   , -   ,25, -   ,-14,-3
957,14, -   ,123,-1, -   , -   , -   , -   ,3, -   ,118,3
958,14, -   ,32,-48, -   , -   , -   , -   ,15,-2,-6,10
959,14, -   ,53, -   , -   , -   , -   , -   ,1, -   ,85,14
960,13,1,27,27, -   , -   , -   , -   ,10, -   ,2,31
961,14, -   ,167,-8,1,1,3,3,35,-3,-275,-1
962,14, -   ,40,-50, -   ,-1, -   ,-2,-36,-1,27, -   
963,14, -   ,198,-16, -   , -   , -   , -   ,40, -   ,481,-1
964,15, -   ,85,-17, -   , -   , -   , -   ,9, -   ,-233,-2
965,15, -   ,15,1, -   , -   , -   , -   , -   , -   ,160,31
966,14, -   ,71,16, -   , -   , -   , -   ,-3, -   ,-841, -   
967,4, -   ,107,56,2,-3,3, -   ,62,-1, -   , -   
968,15, -   ,182,29, -   , -   , -   , -   ,49, -   ,154,-1
969,15, -   ,84,-36, -   , -   , -   , -   ,2,-1,566,-6
970,15, -   ,15,10, -   , -   , -   , -   ,6, -   , -   ,-11
971,12, -   ,138,-29, -   ,-1, -   ,-3,2, -   ,-35,-1
972,15, -   ,141,-18, -   , -   , -   , -   ,-7,-2,-68,4
973,14, -   ,109,-43, -   ,-1, -   ,-4,3,-6,675,4
974,14, -   ,183,5, -   ,-1, -   ,-3,-12,-13,107, -   
975,12, -   ,85,-1, -   , -   , -   , -   ,79, -   ,294,2
976,14, -   ,102,-32, -   , -   , -   , -   ,-16,-1,-65, -   
977,12,1,150,-36, -   ,-2, -   ,-3,8,2,-168,-2
978,12,1,161,53, -   , -   , -   , -   ,5,2,"1,435.00",2
979,13,1, -   , -   , -   , -   , -   , -   , -   , -   ,-1,31
980,14, -   ,94,-3, -   , -   , -   , -   ,6, -   ,-63, -   
981,14, -   ,98,21, -   , -   , -   , -   ,31, -   ,60,3
982,14, -   ,168, -   , -   ,-1, -   ,-3,136,6,33, -   
983,14, -   ,58,-11, -   , -   , -   , -   ,-9, -   ,165,-5
984,14, -   ,83,-1, -   , -   , -   , -   ,-12,1,136,-1
985,14, -   ,105,-17, -   , -   , -   , -   , -   ,-1,12,-3
986,12, -   ,56,-48, -   , -   , -   , -   ,9,-3, -   ,2
987,13, -   ,135,46,1,1,3,3,23,2,-475,5
988,14, -   ,134,9, -   , -   , -   , -   ,61,-1,37, -   
989,14, -   ,36,-1, -   , -   , -   , -   , -   , -   ,-11,31
990,14, -   ,125,-1, -   , -   , -   , -   ,25,-1,-104, -   
991,9, -   , -   ,-8, -   , -   , -   , -   , -   , -   ,-1,31
992,14, -   ,186,6, -   ,-1, -   ,-3,12,-3,-80, -   
993,14, -   ,99,-48, -   , -   , -   , -   ,-6,-2,-13,3
994,14, -   , -   , -   , -   , -   , -   , -   ,2, -   , -   ,31
995,14, -   ,130,-20,4,4,3,3,-1, -   ,39, -   
996,16, -   ,47,15, -   , -   , -   , -   ,1, -   ,-3,-31
997,1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
998,14, -   ,166,18, -   , -   , -   , -   ,13,-2,342,2
999,14, -   ,202,4,2,2,3,3,-14, -   ,-440,3
"1,000",14, -   ,201,-3,1,-1,3, -   ,76,-3,"7,764.00", -   
"1,001",14, -   ,130,26, -   , -   , -   , -   ,14, -   ,-4, -   
"1,002",12, -   ,168,25, -   ,-1, -   ,-3,51, -   ,-125, -   
"1,003",13,1,130,-14, -   , -   , -   , -   ,-6,-2,-66,3
"1,004",12, -   ,84,-36, -   ,-1, -   ,-3,-6,-4,10, -   
"1,005",14, -   ,98,19, -   , -   , -   , -   ,18, -   ,-126, -   
"1,006",14,1,37,-15, -   , -   , -   , -   ,6, -   ,-16,-88
"1,007",13, -   ,109,-6, -   ,-1, -   ,-3,20,-1, -   ,4
"1,008",14, -   ,173,6, -   ,-1, -   ,-3,76, -   ,-255, -   
"1,009",13, -   ,82,11, -   , -   , -   , -   ,83, -   ,34,-4
"1,010",14, -   , -   ,-23, -   , -   , -   , -   ,-2, -   ,993,-83
"1,011",14, -   ,143,-1, -   , -   , -   , -   ,-5,1,-25,-1
"1,012",12, -   ,62,-4, -   , -   , -   , -   ,24, -   , -   ,-4
"1,013",14, -   ,136,19, -   , -   , -   , -   ,7,-2,220,17
"1,014",14, -   ,200,3,2,2,3,3,35,3,583,4
"1,015",14, -   ,162,-7, -   ,-1, -   ,-3,159,-2,208, -   
"1,016",14, -   ,61,8, -   , -   , -   , -   ,-6, -   ,109,3
"1,017",14, -   ,191,-5,1,-1,3, -   ,58,-2,-531, -   
"1,018",14, -   ,104,-27,2,1,3, -   ,51,-1,30,-1
"1,019",13, -   ,33,-77, -   ,-1, -   ,-3,3,-1,472,15
"1,020",7, -   ,180,8, -   ,-1, -   ,-3,35,-2,404, -   
"1,021",13,1,12,-73, -   , -   , -   , -   ,-4,-1, -   ,18
"1,022",13, -   ,31,-44, -   , -   , -   , -   ,-2, -   ,-30,2
"1,023",4, -   ,105,43, -   , -   , -   , -   ,24,3, -   , -   
"1,024",12, -   ,57,8, -   , -   , -   , -   , -   , -   ,-11,-2
"1,025",11, -   ,165, -   , -   ,-2, -   ,-3,32, -   ,596,-2
"1,026",13, -   ,104,-17, -   ,-2, -   ,-2.5,24,-1,-550,1
"1,027",13, -   ,90, -   , -   , -   , -   , -   ,2, -   ,2,1
"1,028",12, -   ,60,2, -   , -   , -   , -   ,10, -   ,-17, -   
"1,029",14, -   ,123,9,5,3,3, -   ,71, -   ,109, -   
"1,030",14, -   ,48,-60, -   , -   , -   , -   ,-4,-3,3,-126
"1,031",11, -   ,84,-1, -   , -   , -   , -   ,21, -   ,-248, -   
"1,032",13, -   ,132, -   ,2,2,3,3,43, -   ,-23,-1
"1,033",14, -   ,169,13,3,3,2.3,2.3,58,2,-221,-1
"1,034",14, -   ,131,46,1,1,3,3,55,2,-90,11
"1,035",31, -   ,133,-3,3,3,3,3,42, -   ,429,3
"1,036",33, -   ,150,-5, -   , -   , -   , -   ,1,-5, -   , -   
"1,037",33,1,190,19, -   ,-1, -   ,-2,5,-1,"-1,436.00", -   
"1,038",31, -   ,162,-3, -   , -   , -   , -   ,63, -   ,-144, -   
"1,039",3, -   ,19,19, -   , -   , -   , -   ,26, -   , -   , -   
"1,040",33, -   ,88,8,2,2,3,3,21,-1,-62, -   
"1,041",33, -   ,115,-35, -   , -   , -   , -   ,-16, -   ,118,4
"1,042",33, -   ,135,-5, -   , -   , -   , -   , -   , -   ,-41, -   
"1,043",19,1,159,16, -   , -   , -   , -   ,18,-1,"1,961.00", -   
"1,044",33, -   ,172,-10, -   ,-1, -   ,-3,-21,-4,-249, -   
"1,045",33, -   ,100,-10, -   , -   , -   , -   ,-21, -   ,201, -   
"1,046",33, -   ,155,5,1,1,3,3,60, -   ,"1,494.00", -   
"1,047",33, -   ,25,25, -   , -   , -   , -   ,10, -   , -   ,31
"1,048",29, -   ,139,-11, -   ,-1, -   ,-3,37, -   ,134, -   
"1,049",29, -   ,170,8,1,1,3,3,66, -   ,-543,-4
"1,050",3, -   ,28,28,2,2,3,3,60, -   , -   , -   
"1,051",41, -   ,32,-12,1,1,3,3,8, -   , -   ,-4
"1,052",28, -   ,136,9, -   ,-1, -   ,-3,1,-1,-69,-4
"1,053",33, -   ,33, -   , -   , -   , -   , -   , -   , -   ,134,31
"1,054",33, -   ,141,46, -   ,-3, -   ,-2.7,10,2,41, -   
"1,055",32, -   ,23, -   , -   , -   , -   , -   ,-11, -   , -   ,3
"1,056",31, -   ,78, -   , -   , -   , -   , -   ,6, -   , -   ,-9
"1,057",31, -   ,215,40, -   , -   , -   , -   ,3,2,-493, -   
"1,058",33, -   ,18, -   , -   , -   , -   , -   , -   , -   , -   ,30
"1,059",33, -   ,43,-41,1,-2,3, -   ,-2,-2,-71,-4
"1,060",30, -   ,71,10, -   , -   , -   , -   ,4, -   ,1,30
"1,061",33, -   ,161,83, -   , -   , -   , -   ,8,1,53,31
"1,062",32, -   ,176,46, -   , -   , -   , -   ,4,1,-230,4
"1,063",33, -   ,18,-5, -   , -   , -   , -   ,-4, -   ,39,-67
"1,064",28, -   ,145,16, -   , -   , -   , -   ,-1, -   ,-234,-1
"1,065",33, -   ,206,2, -   , -   , -   , -   ,110,-1,-211, -   
"1,066",29, -   ,162,-1, -   , -   , -   , -   ,-8,-1,71,-1
"1,067",16,1,130,57, -   , -   , -   , -   ,10,2,178,-11
"1,068",24, -   ,179,-1, -   , -   , -   , -   ,-19, -   ,-337, -   
"1,069",29,1, -   , -   , -   , -   , -   , -   , -   , -   , -   ,31
"1,070",29, -   ,225,18,1,1,3,3,14,3,172, -   
"1,071",28, -   ,5, -   , -   , -   , -   , -   , -   , -   , -   ,31
"1,072",32, -   ,139,42,2,2,3,3,52,1,62,3
"1,073",33, -   ,132,-1, -   ,-3, -   ,-3,3, -   ,-559,4
"1,074",33, -   ,120,40, -   , -   , -   , -   ,4, -   ,544,31
"1,075",29, -   ,68,-11, -   , -   , -   , -   ,5, -   ,-27,18
"1,076",33, -   ,105,-1, -   , -   , -   , -   ,2, -   ,454,-14
"1,077",33, -   ,185,1, -   , -   , -   , -   ,23,4,555,-2
"1,078",33, -   ,128,46, -   , -   , -   , -   ,42, -   ,-615,13
"1,079",33, -   ,89,-2, -   , -   , -   , -   ,-3, -   , -   ,3
"1,080",33, -   ,75,-20, -   , -   , -   , -   ,-11, -   ,-390,6
"1,081",32, -   ,110, -   , -   , -   , -   , -   ,31, -   ,-40,2
"1,082",32, -   ,128,-57, -   , -   , -   , -   ,-7,-3,"1,247.00",1
"1,083",33, -   ,193,65, -   , -   , -   , -   ,86,4,114,-1
"1,084",32, -   ,69,-1, -   , -   , -   , -   ,-3, -   ,-17,1
"1,085",32, -   ,110,2, -   , -   , -   , -   ,12, -   ,375,5
"1,086",32, -   ,69,-57, -   , -   , -   , -   ,9,-2,"1,458.00",-2
"1,087",32, -   ,115,-12, -   , -   , -   , -   ,-27,1,"-1,157.00", -   
"1,088",30, -   ,154,13,1,1,3,3,-2,3,30, -   
"1,089",20, -   ,201,-2, -   ,-1, -   ,-3,76, -   ,22, -   
"1,090",32, -   ,101,-72, -   ,-1, -   ,-3,-15,-1,-30,5
"1,091",32, -   ,9,9, -   , -   , -   , -   , -   , -   ,-75,31
"1,092",31, -   ,176,5,1,1,3,3,43,-2,-12, -   
"1,093",33, -   ,139,-7, -   , -   , -   , -   ,47,-5,349,-1
"1,094",33, -   ,169,36,4,3,3, -   ,29,1,-579, -   
"1,095",32, -   ,135,-37, -   , -   , -   , -   ,-7,-2,-93,3
"1,096",32, -   ,190,-37,5,1,3, -   ,34,-2,"9,565.00", -   
"1,097",32, -   ,93, -   , -   , -   , -   , -   ,6, -   ,-6,1
"1,098",31, -   ,181,-1, -   , -   , -   , -   , -   ,-2,275, -   
"1,099",32, -   ,131,-1, -   , -   , -   , -   ,122, -   ,56, -   
"1,100",32, -   ,69,-1, -   , -   , -   , -   , -   , -   ,-33,30
"1,101",11, -   ,193,15, -   , -   , -   , -   ,-12,2,-45,-3
"1,102",31, -   ,201,-1,3,3,3,3,58,1,102, -   
"1,103",31, -   ,105,-12, -   , -   , -   , -   ,-14, -   ,17, -   
"1,104",32, -   ,182,2, -   , -   , -   , -   ,44,2,"8,053.00",-1
"1,105",31, -   ,173,2,1,-1,3, -   ,3,2,"-1,483.00", -   
"1,106",32, -   ,55,7, -   , -   , -   , -   ,7, -   , -   ,-58
"1,107",14,1,51,10, -   , -   , -   , -   , -   , -   ,-246,31
"1,108",32, -   , -   ,-22, -   , -   , -   , -   ,-6, -   ,2,-107
"1,109",32, -   ,55,-28, -   , -   , -   , -   ,-1, -   ,-57,10
"1,110",30, -   ,8,-3, -   , -   , -   , -   , -   , -   , -   ,31
"1,111",32, -   ,130,1, -   ,-1, -   ,-4,-5, -   ,-439,-7
"1,112",26, -   ,50, -   , -   , -   , -   , -   , -   , -   ,-1,31
"1,113",31, -   ,105,-5, -   , -   , -   , -   ,5, -   ,64,9
"1,114",32, -   ,115,9,2,1,3, -   ,28, -   ,-9,-1
"1,115",31, -   ,177,6,2,2,3,3,14,1,59,-13
"1,116",31, -   ,186,-1, -   ,-2, -   ,-3,19,-3,-883, -   
"1,117",12, -   ,75,28, -   ,-1, -   ,-3,-7, -   , -   ,-1
"1,118",32, -   ,36,-15, -   , -   , -   , -   ,4, -   ,698,-4
"1,119",30, -   ,159,20,1,-4,3, -   ,-30,1,-992, -   
"1,120",32, -   ,111,-14, -   , -   , -   , -   ,3,1,32,-20
"1,121",32, -   ,117,-37, -   , -   , -   , -   ,-3,-1,660,1
"1,122",32, -   ,92,14,1,1,3,3,15,-1,-3,12
"1,123",18, -   ,84,-2, -   , -   , -   , -   ,23, -   , -   , -   
"1,124",31, -   ,75,2, -   , -   , -   , -   ,9, -   ,-12,-3
"1,125",32, -   ,119, -   , -   , -   , -   , -   ,-12, -   ,-101,-1
"1,126",28, -   ,84,-9, -   , -   , -   , -   ,-79, -   ,27, -   
"1,127",32, -   ,115,-11, -   , -   , -   , -   ,-6,-1,349,-64
"1,128",32, -   ,36,-1, -   , -   , -   , -   ,1, -   ,-613,-1
"1,129",31, -   ,144,17, -   , -   , -   , -   ,19,-3,-86, -   
"1,130",31, -   ,80,8,1,1,3,3, -   , -   ,265,-21
"1,131",31, -   ,298,-12,11,7,3, -   ,106,-49,858, -   
"1,132",32, -   ,122, -   , -   , -   , -   , -   ,-10, -   ,-476,1
"1,133",32, -   ,166,-2,1,-3,3, -   ,14,-1,-792, -   
"1,134",32, -   ,120,23, -   , -   , -   , -   ,3, -   ,"-2,197.00",-8
"1,135",32, -   ,149,-11, -   ,-1, -   ,-3,-11, -   ,211,4
"1,136",31, -   ,235,62,1,1,3,3,48,1,197,1
"1,137",31, -   ,172,-6, -   , -   , -   , -   ,25,3,"1,846.00",-1
"1,138",6, -   ,69,-18, -   ,-1, -   ,-3,44,-2, -   ,2
"1,139",32, -   ,91,-36,1,1,3,3,-3,-1,-80, -   
"1,140",31, -   ,43,-11, -   , -   , -   , -   ,4, -   ,11,3
"1,141",30, -   ,3,-73, -   ,-1, -   ,-3,-14,-2,-10,-5
"1,142",28, -   ,115, -   , -   , -   , -   , -   ,14, -   ,-2,-1
"1,143",32, -   , -   ,-17, -   , -   , -   , -   , -   , -   ,20,31
"1,144",32, -   ,36,-2, -   , -   , -   , -   , -   , -   , -   ,9
"1,145",32, -   ,183,-19,1,1,3,3,10,1,-199, -   
"1,146",32, -   ,165,42,2, -   ,2.5,-0.5,49,2,124, -   
"1,147",23, -   ,54,25, -   , -   , -   , -   ,14, -   ,2,5
"1,148",19, -   ,93,-33, -   , -   , -   , -   ,21,-2,3, -   
"1,149",22, -   ,62,25, -   , -   , -   , -   ,15, -   ,18,5
"1,150",23, -   ,142,3, -   , -   , -   , -   ,41,5,444,-2
"1,151",22, -   ,3,-26, -   , -   , -   , -   ,-1, -   ,11,27
"1,152",16, -   , -   , -   , -   , -   , -   , -   , -   , -   ,12,31
"1,153",15, -   ,103,-2,4,4,3,3,78,-2,-3,2
"1,154",23, -   ,163,48, -   , -   , -   , -   ,72,3,151, -   
"1,155",23, -   ,41,-33, -   , -   , -   , -   , -   , -   ,279,31
"1,156",23, -   ,140,-2, -   , -   , -   , -   ,3,-2,115,-2
"1,157",23, -   ,143,66, -   ,-2, -   ,-3,22,1,-44,3
"1,158",22, -   ,39,-39, -   , -   , -   , -   ,-2, -   ,-100,9
"1,159",23, -   ,136,21,2,2,3,3,-13, -   ,716,-7
"1,160",22, -   ,157,-6, -   , -   , -   , -   ,24,-2,-18,-1
"1,161",22, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,31
"1,162",21, -   ,159,45, -   , -   , -   , -   ,8,1,-170,31
"1,163",22, -   ,162,-8, -   , -   , -   , -   ,-14, -   ,532,-2
"1,164",22, -   ,155,63,1,1,3,3,18,2,-67,20
"1,165",22, -   ,27,-11, -   , -   , -   , -   , -   , -   ,4,31
"1,166",22, -   ,175,-1, -   , -   , -   , -   ,20, -   ,-136, -   
"1,167",19, -   ,129,21,1, -   ,3,1,118,2,-89, -   
"1,168",1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"1,169",23, -   ,92,-3, -   , -   , -   , -   ,-3,-3, -   ,3
"1,170",22, -   ,90,-26, -   , -   , -   , -   , -   , -   ,-838,31
"1,171",20, -   ,31,10, -   , -   , -   , -   ,2, -   ,6,31
"1,172",21, -   ,115, -   , -   , -   , -   , -   ,3, -   , -   , -   
"1,173",22, -   ,111,13, -   , -   , -   , -   ,41, -   ,-9,1
"1,174",22, -   ,154,27, -   , -   , -   , -   ,18,4,-296,-1
"1,175",22, -   ,165,-26, -   , -   , -   , -   ,1,-1,-645,3
"1,176",22, -   ,167,4, -   , -   , -   , -   ,48,3,-138, -   
"1,177",21, -   ,70,25, -   , -   , -   , -   ,4, -   , -   ,31
"1,178",19, -   ,98,26, -   , -   , -   , -   ,8, -   ,-899,30
"1,179",23, -   ,82,-32, -   , -   , -   , -   ,-12, -   ,54,2
"1,180",23, -   ,144,25,2,1,3, -   ,14, -   ,-583,-14
"1,181",23, -   , -   ,-64, -   , -   , -   , -   ,-2, -   , -   ,-115
"1,182",22, -   ,182,5,4,-1,3, -   ,79,4,131, -   
"1,183",23, -   ,123,7,2,-1,3, -   ,11,7,-35,-10
"1,184",23, -   ,244,9,2, -   ,2.5, -   ,19,5,373, -   
"1,185",22, -   ,163,-2, -   , -   , -   , -   ,3, -   ,-5,-1
"1,186",20, -   ,120,15, -   , -   , -   , -   ,2, -   ,-195,-3
"1,187",21, -   ,93,-73, -   ,-1, -   ,-3,-35,-5,13,2
"1,188",20, -   ,35,-15, -   , -   , -   , -   , -   , -   ,104,31
